15.01.2002 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 197100 ; BYR ; зпл1
15.08.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 4800 ; BYR ; сот
15.08.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 4 ; USD ; дек
15.08.2004 ; Доход ; ЮКОЛА ; Депозиты ; Ремонт ; 10 ; USD ; rom
15.08.2004 ; Доход ; ЮКОЛА ; Депозиты ; Ремонт ; 35 ; USD ; rom
15.08.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 9150 ; BYR ; дис
15.09.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 101 ; USD ; зпл1
15.09.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 149 ; USD ; зпл2
15.09.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 43200 ; BYR ; Дт
15.09.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 71 ; USD ; пос авг
15.09.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 76,5 ; USD ; пос сен
15.09.2004 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.09.2004 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.09.2004 ; Доход ; Неизвестно ; Мой кошелек ; Неизвестно ; 9750 ; BYR ; обм
15.09.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 13 ; USD ; тон
15.09.2004 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 210 ; USD ; кар
15.09.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 104200 ; BYR ; сот
15.09.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 28600 ; BYR ; дис
15.10.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 100 ; USD ; зпл1
15.10.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 150 ; USD ; зпл2
15.10.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 43200 ; BYR ; Дт
15.10.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 76,5 ; USD ; пос окт
15.10.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Подработка ; 30000 ; BYR ; конверты
15.10.2004 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.10.2004 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.10.2004 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100 ; USD ; д.р.
15.10.2004 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 36 ; USD ; д.р.
15.10.2004 ; Доход ; Неизвестно ; Мой кошелек ; Неизвестно ; 21 ; USD ; в ящ
15.10.2004 ; Доход ; ЮКОЛА ; Депозиты ; Закупки ; 10 ; USD ; флэ
15.10.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 16 ; USD ; флэ
15.10.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 5 ; USD ; жсм
15.10.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 10,5 ; USD ; ммо
15.10.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 1 ; USD ; ков
15.10.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 8 ; USD ; шты
15.10.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 1,5 ; USD ; сот
15.10.2004 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 400 ; USD ; кас
15.10.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 15700 ; BYR ; дис
15.11.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 101 ; USD ; зпл1
15.11.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 149 ; USD ; зпл2
15.11.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 43200 ; BYR ; Дт
15.11.2004 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.11.2004 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 100 ; USD ; отец
15.11.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 7650 ; BYR ; бан
15.11.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 4285 ; BYR ; дис
15.11.2004 ; Доход ; ЮКОЛА ; Депозиты ; Сотовые ; 120 ; USD ; сот
15.11.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 22200 ; BYR ; флэ+про
15.12.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 102 ; USD ; зпл1
15.12.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 145 ; USD ; зпл2
15.12.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 43200 ; BYR ; Дт
15.12.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 76,5 ; USD ; пос ноя
15.12.2004 ; Доход ; Государство ; Мой кошелек ; Пособие ; 77 ; USD ; пос дек
15.12.2004 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.12.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Ремонт ; 10 ; USD ; рем
15.12.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 335 ; USD ; tft
15.12.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 210 ; USD ; кар
15.12.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 28 ; USD ; кар
15.12.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Ремонт ; 10 ; USD ; рем
15.12.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 93200 ; BYR ; сот
15.12.2004 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 11000 ; BYR ; дис
15.01.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 123 ; USD ; зпл1
15.01.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 130 ; USD ; зпл2
15.01.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 43200 ; BYR ; Дт
15.01.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 167520 ; BYR ; пос янв
15.01.2005 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.01.2005 ; Доход ; Неизвестно ; Мой кошелек ; Неизвестно ; 4200 ; BYR ; банки
15.01.2005 ; Доход ; Неизвестно ; Мой кошелек ; Неизвестно ; 20000 ; BYR ; обс
15.01.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 20000 ; BYR ; про
15.01.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 133000 ; BYR ; сот
15.01.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 33 ; USD ; мон
15.01.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 33 ; USD ; hub
15.01.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 5 ; USD ; кар
15.01.2005 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 215 ; USD ; кар
15.01.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 9200 ; BYR ; дис
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 129,5 ; USD ; зпл1
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 121 ; USD ; зпл2
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 43200 ; BYR ; Дт
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл совмещение ; 150 ; USD ; пра
15.02.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 167520 ; BYR ; пос фев
15.02.2005 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.02.2005 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 40 ; USD ; мон
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 7 ; USD ; кбд
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 37350 ; BYR ; дис
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 45,5 ; USD ; яма
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 46,5 ; USD ; сот
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 22 ; USD ; cdr
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 15 ; USD ; sio
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 15 ; USD ; vid
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 6 ; USD ; кис
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 21,5 ; USD ; двд
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 7 ; USD ; чир
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 56 ; USD ; ярч
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 11 ; USD ; зап
15.02.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 3600 ; BYR ; fdd
15.03.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 130 ; USD ; зпл1
15.03.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 121 ; USD ; зпл2
15.03.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 65000 ; BYR ; Дт
15.03.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 175700 ; BYR ; пос мар
15.03.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 50000 ; BYR ; к8м
15.03.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 20000 ; BYR ; проф
15.03.2005 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.03.2005 ; Доход ; Родственники ; Мой кошелек ; Субсидии ; 50 ; USD ; отец
15.03.2005 ; Доход ; Неизвестно ; Мой кошелек ; Неизвестно ; 4900 ; BYR ; банки
15.03.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 650 ; USD ; кас
15.03.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 4 ; USD ; амо
15.03.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 29 ; USD ; pan
15.03.2005 ; Доход ; ЮКОЛА ; Депозиты ; Прочие ; 10 ; USD ; пля
15.03.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 5 ; USD ; бум
15.03.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 5 ; USD ; sha
15.03.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 71 ; USD ; сот
15.03.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 23 ; USD ; яма
15.03.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 5100 ; BYR ; дис
15.04.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 130,5 ; USD ; зпл1
15.04.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 120 ; USD ; зпл2
15.04.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 43600 ; BYR ; Дт
15.04.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 175700 ; BYR ; пос апр
15.04.2005 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.04.2005 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100000 ; BYR ; д.М
15.04.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 55 ; USD ; кол
15.04.2005 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 210 ; USD ; кар мар
15.04.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 71 ; USD ; сот
15.04.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 90 ; USD ; иго
15.04.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 2 ; USD ; пля
15.04.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 52 ; USD ; эле
15.04.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 1 ; USD ; двд
15.04.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 2000 ; BYR ; дис
15.05.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 131 ; USD ; зпл1
15.05.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 119 ; USD ; зпл2
15.05.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 44800 ; BYR ; Дт
15.05.2005 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; отец
15.05.2005 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100 ; USD ; д.р.
15.05.2005 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100000 ; BYR ; д.Ф.
15.05.2005 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100000 ; BYR ; А.И.
15.05.2005 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 10 ; USD ; Галя
15.05.2005 ; Доход ; Неизвестно ; Мой кошелек ; Неизвестно ; 20 ; USD ; кис
15.05.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 139 ; USD ; 3com
15.05.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 62 ; USD ; сот
15.05.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 100 ; USD ; кол
15.05.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 6 ; USD ; сте
15.05.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 13 ; USD ; c340
15.05.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 20 ; USD ; каз
15.05.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 22500 ; BYR ; дис
15.06.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 282990 ; BYR ; зпл1
15.06.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 169 ; USD ; зпл2
15.06.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 44800 ; BYR ; Дт
15.06.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 175040 ; BYR ; пос мая
15.06.2005 ; Доход ; Неизвестно ; Мой кошелек ; Неизвестно ; 4500 ; BYR ; банки
15.06.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 206 ; USD ; кар май
15.06.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 15 ; USD ; реп
15.06.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 3200 ; BYR ; сот
15.06.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 18600 ; BYR ; чем
15.06.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 115000 ; BYR ; вин
15.06.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 8 ; USD ; ско
15.06.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 20000 ; BYR ; кос
15.06.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 1000 ; BYR ; дис
15.07.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 282980 ; BYR ; зпл1
15.07.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 44800 ; BYR ; Дт
15.07.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 181100 ; BYR ; пос июн
15.07.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 181000 ; BYR ; пос июл
15.07.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 100 ; USD ; сот
15.07.2005 ; Доход ; Неизвестно ; Мой кошелек ; Неизвестно ; 1440 ; BYR ; обм
15.07.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; АТС ; 10 ; USD ; атс
15.07.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 3200 ; BYR ; дис
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 170 ; USD ; зпл2 июл
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 169 ; USD ; зпл2
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 20 ; USD ; Дт
15.08.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 181000 ; BYR ; пос
15.08.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 120000 ; BYR ; к1с
15.08.2005 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100000 ; BYR ; А.И.
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 32 ; USD ; амо
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 60 ; USD ; сот
15.08.2005 ; Доход ; Неизвестно ; Мой кошелек ; Неизвестно ; 3000 ; BYR ; обм
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 58 ; USD ; кар
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 66 ; USD ; упс
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 4 ; USD ; мыш
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 34000 ; BYR ; кор
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 5 ; USD ; кон
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 7 ; USD ; флэ
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 7 ; USD ; коп
15.08.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 16500 ; BYR ; дис
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 282980 ; BYR ; зпл1 авг
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 281030 ; BYR ; зпл1
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 199 ; USD ; зпл2
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 11 ; USD ; Дт
15.09.2005 ; Доход ; Банки ; Депозиты ; Проценты по депозитам ; 374 ; USD ; %%
15.09.2005 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; Илья
15.09.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 190000 ; BYR ; пос
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 4460 ; BYR ; cd-r
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 4735 ; BYR ; сайт-асб
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 81 ; USD ; сот
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 73 ; USD ; трей-инет
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 200 ; USD ; каз-usa
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 159 ; USD ; кар
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 4 ; USD ; panfax
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 15 ; USD ; auto3110
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 44550 ; BYR ; бум
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 2 ; USD ; прое
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 3,5 ; USD ; Easydisk
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Ремонт ; 0,5 ; USD ; belhard
15.09.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 29000 ; BYR ; дис
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 343200 ; BYR ; зпл1
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 172 ; USD ; зпл2
15.10.2005 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; Илья
15.10.2005 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100000 ; BYR ; А.И.д.р.
15.10.2005 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100 ; USD ; отец д.р.
15.10.2005 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100000 ; BYR ; д.Ф д.р.
15.10.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 190000 ; BYR ; пос
15.10.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 20000 ; BYR ; 
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 36 ; USD ; каз-usa
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 26427 ; BYR ; трей-инет
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 3573 ; BYR ; трей-инет
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 100 ; USD ; сот
15.10.2005 ; Доход ; ЮКОЛА ; Депозиты ; Картриджи ; 0 ; USD ; кар
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Ремонт ; 15 ; USD ; ксен-рем
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Ремонт ; 17 ; USD ; SF7800
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Ремонт ; 18 ; USD ; GeFor
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 10 ; USD ; hpdj840c
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 2800 ; BYR ; c100
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 6 ; USD ; kbdкофе
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 5,5 ; USD ; x5915
15.10.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 6165 ; BYR ; дис
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 343200 ; BYR ; зпл1
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 171 ; USD ; зпл2
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 34500 ; BYR ; Дт
15.11.2005 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 100 ; USD ; Илья
15.11.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 190000 ; BYR ; пос
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 20 ; USD ; каз-usa
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 28160 ; BYR ; трей-инет
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 95 ; USD ; сот
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 62000 ; BYR ; карАвто
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 5 ; USD ; sf7800
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 5120 ; BYR ; x5915
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 6 ; USD ; кос-сет
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 7 ; USD ; fa76a
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 95 ; USD ; коло
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 98 ; USD ; кар
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Ремонт ; 12 ; USD ; sdram
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 55000 ; BYR ; benef
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 13100 ; BYR ; 2*c100
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 6 ; USD ; usb5m
15.11.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 66300 ; BYR ; дис
15.11.2005 ; Доход ; Гиперы ; Мой кошелек ; Магазинс ; 16400 ; BYR ; bigzz
15.12.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 342420 ; BYR ; зпл1
15.12.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 80 ; USD ; зпл2
15.12.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 34500 ; BYR ; Дт
15.12.2005 ; Доход ; Родственники ; Мой кошелек ; ИльяЖил ; 200 ; USD ; Илья
15.12.2005 ; Доход ; Государство ; Мой кошелек ; Пособие ; 196040 ; BYR ; пос
15.12.2005 ; Доход ; Неизвестно ; Мой кошелек ; Неизвестно ; 6200 ; BYR ; банки
15.12.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 50000 ; BYR ; каз-usa
15.12.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 28200 ; BYR ; трей-инет
15.12.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Сотовые ; 156 ; USD ; сот
15.12.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 65 ; USD ; кар
15.12.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Закупки ; 4 ; USD ; мыш
15.12.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Картриджи ; 15 ; USD ; 980cxi
15.12.2005 ; Доход ; ЮКОЛА ; Мой кошелек ; Прочие ; 21000 ; BYR ; дис
15.12.2005 ; Доход ; Гиперы ; Мой кошелек ; Магазинс ; 13300 ; BYR ; bigzz
15.01.2006 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл официальная ; 190000 ; BYR ; зпл1
15.01.2006 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 91 ; USD ; зпл2 дек
15.01.2006 ; Доход ; ЮКОЛА ; Мой кошелек ; Моя з/пл конверт ; 100 ; USD ; зпл2
15.01.2006 ; Доход ; ЮКОЛА ; Мой кошелек ; Компенсация топлива ; 23400 ; BYR ; Дт
15.01.2006 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 100000 ; BYR ; А.И. д.р.
15.01.2006 ; Доход ; Родственники ; Мой кошелек ; Подарки ; 50 ; USD ; т.В. Д.р.
