1 ; 31.12.2001 00:01 ; Перенос ; НеЗадано ; 0 ; 224 ; 162 ; -1 ; -1 ; 328 ; USD ; 0 ; USD ;   ; 
2993 ; 07.10.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 272 ; 714 ; 97200.00 ; BYR ; 0 ; USD ; 1066 ; Дт 37,67 л
2994 ; 07.10.2010 00:02 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 175 ; 217 ; 15.00 ; USD ; 0 ; USD ;   ; m15i
2995 ; 07.10.2010 00:03 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 175 ; 213 ; -22.00 ; USD ; 0 ; USD ;   ; 
2996 ; 07.10.2010 00:04 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 9900.00 ; BYR ; 0 ; USD ;   ; шоколад 300 г
2997 ; 07.10.2010 00:05 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 1500.00 ; BYR ; 0 ; USD ;   ; клей
2998 ; 07.10.2010 00:06 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 264 ; 256 ; 1400.00 ; BYR ; 0 ; USD ;   ; талоны
2999 ; 08.10.2010 00:01 ; Перенос ; НеЗадано ; 0 ; 162 ; 163 ; -1 ; -1 ; 10000.00 ; BYR ; 0 ; USD ;   ; 
3000 ; 08.10.2010 00:02 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 60000.00 ; BYR ; 0 ; USD ;   ; экскурсия мал *2
3001 ; 08.10.2010 00:03 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 1000.00 ; BYR ; 0 ; USD ;   ; полдники
3002 ; 08.10.2010 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 175 ; 213 ; 166500.00 ; BYR ; 0 ; USD ;   ; цветн амортиз
3003 ; 08.10.2010 00:05 ; Перенос ; НеЗадано ; 0 ; 169 ; 163 ; -1 ; -1 ; 100000.00 ; BYR ; 0 ; USD ;   ; 
3004 ; 08.10.2010 00:06 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 25000.00 ; BYR ; 0 ; USD ;   ; на танцах
3005 ; 08.10.2010 00:07 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 7000.00 ; BYR ; 0 ; USD ;   ; кран кухня
3006 ; 08.10.2010 00:08 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 15800.00 ; BYR ; 0 ; USD ;   ; 
3007 ; 08.10.2010 00:09 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 28900.00 ; BYR ; 0 ; USD ;   ; 
3008 ; 09.10.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 65000.00 ; BYR ; 0 ; USD ;   ; эл-во на даче
3009 ; 10.10.2010 00:01 ; Перенос ; НеЗадано ; 0 ; 169 ; 163 ; -1 ; -1 ; 100000.00 ; BYR ; 0 ; USD ;   ; 
3010 ; 10.10.2010 00:02 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 80000.00 ; BYR ; 0 ; USD ;   ; 
3011 ; 11.10.2010 00:01 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 9900.00 ; BYR ; 0 ; USD ;   ; 
3012 ; 11.10.2010 00:02 ; Перенос ; НеЗадано ; 0 ; 162 ; 163 ; -1 ; -1 ; 500.00 ; BYR ; 0 ; USD ;   ; 
3013 ; 11.10.2010 00:03 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 3000.00 ; BYR ; 0 ; USD ;   ; полдники *2
3014 ; 12.10.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 273 ; 748 ; 100900.00 ; BYR ; 0 ; USD ; 1068 ; шинмонтаж , мойка
3015 ; 12.10.2010 00:02 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 175 ; 213 ; 95.00 ; USD ; 0 ; USD ;   ; m15 ф.б
3016 ; 12.10.2010 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 175 ; 215 ; 3000.00 ; BYR ; 0 ; USD ;   ; cd-r
3017 ; 12.10.2010 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 175 ; 204 ; 813100.00 ; BYR ; 0 ; USD ;   ; зпл1
3018 ; 12.10.2010 00:05 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 4000.00 ; BYR ; 0 ; USD ;   ; морковь
3019 ; 12.10.2010 00:06 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 4600.00 ; BYR ; 0 ; USD ;   ; брелки
3020 ; 12.10.2010 00:07 ; Перенос ; НеЗадано ; 0 ; 162 ; 169 ; -1 ; -1 ; 700000.00 ; BYR ; 0 ; USD ;   ; 
3021 ; 12.10.2010 00:08 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 12700.00 ; BYR ; 0 ; USD ;   ; 
3022 ; 12.10.2010 00:09 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 1000.00 ; BYR ; 0 ; USD ;   ; полдник
3023 ; 12.10.2010 00:10 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 7100.00 ; BYR ; 0 ; USD ;   ; 
3024 ; 13.10.2010 00:01 ; Перенос ; НеЗадано ; 0 ; 169 ; 163 ; -1 ; -1 ; 100000.00 ; BYR ; 0 ; USD ;   ; 
3025 ; 13.10.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 42600.00 ; BYR ; 0 ; USD ;   ; 
3026 ; 13.10.2010 00:03 ; Расход ; Наличные ; 0 ; 167 ; -1 ; 252 ; 256 ; 20.00 ; USD ; 0 ; USD ;   ; мяч футб р3
3027 ; 13.10.2010 00:04 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 255 ; 199 ; 9900.00 ; BYR ; 0 ; USD ;   ; 
3028 ; 13.10.2010 00:05 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 28700.00 ; BYR ; 0 ; USD ;   ; 
3029 ; 14.10.2010 00:01 ; Перенос ; НеЗадано ; 0 ; 169 ; 162 ; -1 ; -1 ; 100000.00 ; BYR ; 0 ; USD ;   ; 
3030 ; 14.10.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 272 ; 714 ; 82100.00 ; BYR ; 0 ; USD ; 1066 ; Дт 31,81 л
3031 ; 14.10.2010 00:03 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 32300.00 ; BYR ; 0 ; USD ;   ; 
3032 ; 14.10.2010 00:04 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 264 ; 256 ; 2800.00 ; BYR ; 0 ; USD ;   ; талончики
3033 ; 14.10.2010 00:05 ; Перенос ; НеЗадано ; 0 ; 169 ; 165 ; -1 ; -1 ; 200000.00 ; BYR ; 0 ; USD ;   ; 
3034 ; 15.10.2010 00:01 ; Перенос ; НеЗадано ; 0 ; 162 ; 283 ; -1 ; -1 ; 13500.00 ; BYR ; 0 ; USD ;   ; 3820 черный
3035 ; 15.10.2010 00:02 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 175 ; 213 ; 16.00 ; USD ; 0 ; USD ;   ; m15
3036 ; 15.10.2010 00:03 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 10600.00 ; BYR ; 0 ; USD ;   ; груши
3037 ; 15.10.2010 00:04 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 3400.00 ; BYR ; 0 ; USD ;   ; 
3038 ; 15.10.2010 00:05 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 20400.00 ; BYR ; 0 ; USD ;   ; 
3039 ; 16.10.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 197 ; 49200.00 ; BYR ; 0 ; USD ;   ; рубашка мне
3040 ; 16.10.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 7300.00 ; BYR ; 0 ; USD ;   ; кош туал
3041 ; 16.10.2010 00:03 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 46700.00 ; BYR ; 0 ; USD ;   ; 
3042 ; 17.10.2010 00:01 ; Перенос ; НеЗадано ; 0 ; 169 ; 162 ; -1 ; -1 ; 700000.00 ; BYR ; 0 ; USD ;   ; 
3043 ; 17.10.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 197 ; 374500.00 ; BYR ; 0 ; USD ;   ; штаны *3, сапо зимн
3044 ; 17.10.2010 00:03 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 17900.00 ; BYR ; 0 ; USD ;   ; 
3045 ; 17.10.2010 00:04 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 32300.00 ; BYR ; 0 ; USD ;   ; 2 наволочки, 2 насып
3046 ; 17.10.2010 00:05 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 53100.00 ; BYR ; 0 ; USD ;   ; форма д орешков
3047 ; 17.10.2010 00:06 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 13800.00 ; BYR ; 0 ; USD ;   ; 
3048 ; 17.10.2010 00:07 ; Расход ; КартаДругое ; 0 ; 165 ; -1 ; 241 ; 285 ; 90000.00 ; BYR ; 0 ; USD ; 1071 ; кредит жск
3049 ; 17.10.2010 00:08 ; Расход ; ОплатаПоЕрип ; 0 ; 165 ; -1 ; 266 ; 278 ; 64800.00 ; BYR ; 0 ; USD ;   ; кварт
3050 ; 17.10.2010 00:09 ; Расход ; ОплатаПоЕрип ; 0 ; 165 ; -1 ; 269 ; 282 ; 19000.00 ; BYR ; 0 ; USD ;   ; byfly
3051 ; 17.10.2010 00:10 ; Расход ; ОплатаПоЕрип ; 0 ; 165 ; -1 ; 270 ; 256 ; 11000.00 ; BYR ; 0 ; USD ;   ; velcom юля
3052 ; 18.10.2010 00:01 ; Перенос ; НеЗадано ; 0 ; 283 ; 162 ; -1 ; -1 ; 13500.00 ; BYR ; 0 ; USD ;   ; 
3053 ; 18.10.2010 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 175 ; 213 ; 90500.00 ; BYR ; 0 ; USD ;   ; черн 3820 марк
3054 ; 18.10.2010 00:03 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 45300.00 ; BYR ; 0 ; USD ;   ; 
3055 ; 18.10.2010 00:04 ; Расход ; ОплатаПоЕрип ; 0 ; 165 ; -1 ; 266 ; 278 ; 13200.00 ; BYR ; 0 ; USD ;   ; дом тел
3056 ; 18.10.2010 00:05 ; Расход ; ОплатаПоЕрип ; 0 ; 165 ; -1 ; 268 ; 281 ; 3700.00 ; BYR ; 0 ; USD ; 1082 ; газ
3057 ; 18.10.2010 00:06 ; Расход ; ОплатаПоЕрип ; 0 ; 165 ; -1 ; 267 ; 280 ; 51900.00 ; BYR ; 0 ; USD ; 1081 ; эл-во
3058 ; 18.10.2010 00:07 ; Расход ; ОплатаПоЕрип ; 0 ; 165 ; -1 ; 270 ; 256 ; 12400.00 ; BYR ; 0 ; USD ;   ; мой велком
3059 ; 18.10.2010 00:08 ; Перенос ; НеЗадано ; 0 ; 169 ; 163 ; -1 ; -1 ; 100000.00 ; BYR ; 0 ; USD ;   ; 
3060 ; 18.10.2010 00:09 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 44600.00 ; BYR ; 0 ; USD ;   ; 
3061 ; 18.10.2010 00:10 ; Перенос ; НеЗадано ; 0 ; 162 ; 163 ; -1 ; -1 ; 1000.00 ; BYR ; 0 ; USD ;   ; 
3062 ; 18.10.2010 00:11 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 4000.00 ; BYR ; 0 ; USD ;   ; полдники
3063 ; 19.10.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 11300.00 ; BYR ; 0 ; USD ;   ; 
3064 ; 19.10.2010 00:02 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 23500.00 ; BYR ; 0 ; USD ;   ; 
3065 ; 19.10.2010 00:03 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 264 ; 256 ; 700.00 ; BYR ; 0 ; USD ;   ; талончик
3066 ; 20.10.2010 00:01 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 9700.00 ; BYR ; 0 ; USD ;   ; 
3067 ; 21.10.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 4500.00 ; BYR ; 0 ; USD ;   ; мыло
3068 ; 21.10.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 26000.00 ; BYR ; 0 ; USD ;   ; 
3069 ; 21.10.2010 00:03 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 255 ; 199 ; 31800.00 ; BYR ; 0 ; USD ;   ; 
3070 ; 21.10.2010 00:04 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 10200.00 ; BYR ; 0 ; USD ;   ; 
3071 ; 22.10.2010 00:01 ; Перенос ; НеЗадано ; 0 ; 169 ; 163 ; -1 ; -1 ; 100000.00 ; BYR ; 0 ; USD ;   ; 
3072 ; 22.10.2010 00:02 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 221 ; 210 ; 322.00 ; USD ; 0 ; USD ;   ; 
3073 ; 22.10.2010 00:03 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 221 ; 210 ; 20.00 ; EUR ; 0 ; USD ;   ; 20*1.4=28 дол
3074 ; 22.10.2010 00:04 ; Обмен ; НеЗадано ; 0 ; 162 ; 167 ; 293 ; -1 ; 30000.00 ; BYR ; 10.00 ; USD ;   ; татьяна
3075 ; 22.10.2010 00:05 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 175 ; 215 ; 26.00 ; USD ; 0 ; USD ;   ; тлф приемка
3076 ; 22.10.2010 00:06 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 175 ; 215 ; 3000.00 ; BYR ; 0 ; USD ;   ; тлф приемка
3077 ; 22.10.2010 00:07 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 255 ; 199 ; 21700.00 ; BYR ; 0 ; USD ;   ; 
3078 ; 22.10.2010 00:08 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 720 ; 23000.00 ; BYR ; 0 ; USD ; 1070 ; незамерзайка
3079 ; 22.10.2010 00:09 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 14200.00 ; BYR ; 0 ; USD ;   ; 
3080 ; 23.10.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 255 ; 199 ; 39500.00 ; BYR ; 0 ; USD ;   ; 
3081 ; 23.10.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 72400.00 ; BYR ; 0 ; USD ;   ; 
3082 ; 24.10.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 13800.00 ; BYR ; 0 ; USD ;   ; 
3083 ; 24.10.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 4900.00 ; BYR ; 0 ; USD ;   ; 
3084 ; 25.10.2010 00:01 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 175 ; 187 ; 500.00 ; USD ; 0 ; USD ;   ; зпл2
3085 ; 25.10.2010 00:02 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 175 ; 217 ; 70.00 ; USD ; 0 ; USD ;   ; тлф лин
3086 ; 25.10.2010 00:03 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 5600.00 ; BYR ; 0 ; USD ;   ; 
3087 ; 26.10.2010 00:01 ; Доход ; НеЗадано ; 0 ; 310 ; -1 ; 246 ; 208 ; 42.00 ; USD ; 0 ; USD ;   ; приор
3088 ; 26.10.2010 00:02 ; Перенос ; НеЗадано ; 0 ; 167 ; 310 ; -1 ; -1 ; 800.00 ; USD ; 0 ; USD ;   ; продление, доп взнос
3089 ; 26.10.2010 00:03 ; Обмен ; НеЗадано ; 0 ; 167 ; 162 ; 246 ; -1 ; 240.00 ; USD ; 728000.00 ; BYR ;   ; приор
3090 ; 26.10.2010 00:04 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 19800.00 ; BYR ; 0 ; USD ;   ; китикет
3091 ; 26.10.2010 00:05 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 35400.00 ; BYR ; 0 ; USD ;   ; 
3092 ; 26.10.2010 00:06 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 272 ; 714 ; 94500.00 ; BYR ; 0 ; USD ; 1066 ; Дт 36,6 л
3093 ; 26.10.2010 00:07 ; Перенос ; НеЗадано ; 0 ; 167 ; 283 ; -1 ; -1 ; 53.00 ; USD ; 0 ; USD ;   ; кар след мес
3094 ; 27.10.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 10000.00 ; BYR ; 0 ; USD ;   ; 
3095 ; 27.10.2010 00:02 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 175 ; 207 ; 20000.00 ; BYR ; 0 ; USD ;   ; 
3096 ; 27.10.2010 00:03 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 175 ; 215 ; 46200.00 ; BYR ; 0 ; USD ;   ; dvd-rom
3097 ; 27.10.2010 00:04 ; Перенос ; НеЗадано ; 0 ; 162 ; 169 ; -1 ; -1 ; 400000.00 ; BYR ; 0 ; USD ;   ; 
3098 ; 27.10.2010 00:05 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 8400.00 ; BYR ; 0 ; USD ;   ; 
3099 ; 27.10.2010 00:06 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 20600.00 ; BYR ; 0 ; USD ;   ; 
3100 ; 27.10.2010 00:07 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 700.00 ; BYR ; 0 ; USD ;   ; 
3101 ; 28.10.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 8000.00 ; BYR ; 0 ; USD ;   ; dvd интерны
3102 ; 28.10.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 17000.00 ; BYR ; 0 ; USD ;   ; 
3103 ; 28.10.2010 00:03 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 197 ; 23300.00 ; BYR ; 0 ; USD ;   ; шапка зимн яна
3104 ; 28.10.2010 00:04 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 8300.00 ; BYR ; 0 ; USD ;   ; 
3105 ; 28.10.2010 00:05 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 33200.00 ; BYR ; 0 ; USD ;   ; 
3106 ; 28.10.2010 00:06 ; Перенос ; НеЗадано ; 0 ; 169 ; 163 ; -1 ; -1 ; 100000.00 ; BYR ; 0 ; USD ;   ; 
3107 ; 29.10.2010 00:01 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 175 ; 217 ; 15.00 ; USD ; 0 ; USD ;   ; hplj 1022
3108 ; 29.10.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 27600.00 ; BYR ; 0 ; USD ;   ; 
3109 ; 29.10.2010 00:03 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 20000.00 ; BYR ; 0 ; USD ;   ; благотворительность
3110 ; 29.10.2010 00:04 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 6700.00 ; BYR ; 0 ; USD ;   ; кош наполн
3111 ; 29.10.2010 00:05 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 19000.00 ; BYR ; 0 ; USD ;   ; 
3112 ; 29.10.2010 00:06 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 3900.00 ; BYR ; 0 ; USD ;   ; гофрир бумага яна
3113 ; 30.10.2010 00:01 ; Перенос ; НеЗадано ; 0 ; 169 ; 162 ; -1 ; -1 ; 100000.00 ; BYR ; 0 ; USD ;   ; 
3114 ; 30.10.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 197 ; 14600.00 ; BYR ; 0 ; USD ;   ; трусы мне
3115 ; 30.10.2010 00:03 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 1700.00 ; BYR ; 0 ; USD ;   ; щетка для рук
3116 ; 30.10.2010 00:04 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 7500.00 ; BYR ; 0 ; USD ;   ; гостинцы
3117 ; 30.10.2010 00:05 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 31200.00 ; BYR ; 0 ; USD ;   ; 
3118 ; 30.10.2010 00:06 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 283600.00 ; BYR ; 0 ; USD ;   ; 2*(одеяло+пододеялн)
3119 ; 31.10.2010 00:01 ; Перенос ; НеЗадано ; 0 ; 167 ; 283 ; -1 ; -1 ; 200.00 ; USD ; 0 ; USD ;   ; родителям за Илью
3120 ; 01.11.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 4300.00 ; BYR ; 0 ; USD ;   ; 
3121 ; 01.11.2010 00:02 ; Перенос ; НеЗадано ; 0 ; 169 ; 162 ; -1 ; -1 ; 200000.00 ; BYR ; 0 ; USD ;   ; 
3122 ; 02.11.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 255 ; 199 ; 19700.00 ; BYR ; 0 ; USD ;   ; полидекса
3123 ; 02.11.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 22600.00 ; BYR ; 0 ; USD ;   ; 
3124 ; 02.11.2010 00:03 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 23000.00 ; BYR ; 0 ; USD ;   ; фрукты
3125 ; 02.11.2010 00:04 ; Перенос ; НеЗадано ; 0 ; 283 ; 167 ; -1 ; -1 ; 200.00 ; USD ; 0 ; USD ;   ; 
3126 ; 03.11.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 272 ; 714 ; 91300.00 ; BYR ; 0 ; USD ; 1066 ; Дт 35,4 л
3127 ; 03.11.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 14700.00 ; BYR ; 0 ; USD ;   ; 
3128 ; 03.11.2010 00:03 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 10700.00 ; BYR ; 0 ; USD ;   ; 
3129 ; 03.11.2010 00:04 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 43400.00 ; BYR ; 0 ; USD ;   ; 
3130 ; 04.11.2010 00:01 ; Обмен ; НеЗадано ; 0 ; 167 ; 162 ; 247 ; -1 ; 180.00 ; USD ; 549000.00 ; BYR ;   ; сомбелбанк
3131 ; 04.11.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 10500.00 ; BYR ; 0 ; USD ;   ; антиглист соб+кот
3132 ; 04.11.2010 00:03 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 7000.00 ; BYR ; 0 ; USD ;   ; 
3133 ; 04.11.2010 00:04 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 175 ; 206 ; 124900.00 ; BYR ; 0 ; USD ;   ; 
3134 ; 04.11.2010 00:05 ; Доход ; НеЗадано ; 0 ; 162 ; -1 ; 175 ; 215 ; 60000.00 ; BYR ; 0 ; USD ;   ; хаб , уже был
3135 ; 04.11.2010 00:06 ; Доход ; НеЗадано ; 0 ; 167 ; -1 ; 175 ; 213 ; 149.00 ; USD ; 0 ; USD ;   ; кар
3136 ; 04.11.2010 00:07 ; Обмен ; НеЗадано ; 0 ; 162 ; 167 ; 293 ; -1 ; 27000.00 ; BYR ; 9.00 ; USD ;   ; выдали usd, а платил byr , заправка 2612
3137 ; 04.11.2010 00:08 ; Перенос ; НеЗадано ; 0 ; 283 ; 167 ; -1 ; -1 ; 53.00 ; USD ; 0 ; USD ;   ; 
3138 ; 04.11.2010 00:09 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 257 ; 23900.00 ; BYR ; 0 ; USD ;   ; 
3139 ; 04.11.2010 00:10 ; Перенос ; НеЗадано ; 0 ; 162 ; 169 ; -1 ; -1 ; 250000.00 ; BYR ; 0 ; USD ;   ; 
3140 ; 04.11.2010 00:11 ; Перенос ; НеЗадано ; 0 ; 162 ; 163 ; -1 ; -1 ; 50000.00 ; BYR ; 0 ; USD ;   ; 
3141 ; 04.11.2010 00:12 ; Перенос ; НеЗадано ; 0 ; 162 ; 167 ; -1 ; -1 ; 300000.00 ; BYR ; 0 ; USD ;   ; 
3142 ; 05.11.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 255 ; 199 ; 23600.00 ; BYR ; 0 ; USD ;   ; 
3143 ; 05.11.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 13700.00 ; BYR ; 0 ; USD ;   ; 
3144 ; 06.11.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 255 ; 199 ; 15200.00 ; BYR ; 0 ; USD ;   ; 
3145 ; 06.11.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 7300.00 ; BYR ; 0 ; USD ;   ; кош наполн
3146 ; 06.11.2010 00:03 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 23100.00 ; BYR ; 0 ; USD ;   ; 2*лампы энергосбер
3147 ; 06.11.2010 00:04 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 38200.00 ; BYR ; 0 ; USD ;   ; 
3148 ; 07.11.2010 00:01 ; Перенос ; НеЗадано ; 0 ; 167 ; 162 ; -1 ; -1 ; 200000.00 ; BYR ; 0 ; USD ;   ; 
3149 ; 07.11.2010 00:02 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 27900.00 ; BYR ; 0 ; USD ;   ; 
3150 ; 08.11.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 257 ; 13100.00 ; BYR ; 0 ; USD ;   ; 
3151 ; 08.11.2010 00:02 ; Обмен ; НеЗадано ; 0 ; 167 ; 162 ; 293 ; -1 ; 1.00 ; USD ; 3000.00 ; BYR ;   ; 
3152 ; 08.11.2010 00:03 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 255 ; 199 ; 31800.00 ; BYR ; 0 ; USD ;   ; 
3153 ; 08.11.2010 00:04 ; Расход ; Наличные ; 0 ; 163 ; -1 ; 252 ; 256 ; 5000.00 ; BYR ; 0 ; USD ;   ; яне в школу
3154 ; 09.11.2010 00:01 ; Расход ; Наличные ; 0 ; 162 ; -1 ; 252 ; 256 ; 7000.00 ; BYR ; 0 ; USD ;   ; jc лампочки 2 шт
