31.12.2001 18:00:00 ; Перенос ; Для ввода стартовых остатков ; Мой кошелек ; 328 ; USD ; 0 ; USD ;   ; 
23.05.2011 9:07:00 ; Расход ; Юлин кошелек ;  ; 32300.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
23.05.2011 9:08:00 ; Расход ; Юлин кошелек ;  ; 12200.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; моороженные
24.05.2011 9:00:00 ; Расход ; Юлин кошелек ;  ; 39200.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; клей, мел, уголки
24.05.2011 9:01:00 ; Расход ; Юлин кошелек ;  ; 12200.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; мороженные
24.05.2011 9:02:00 ; Расход ; Юлин кошелек ;  ; 2300.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 23100
24.05.2011 9:03:00 ; Расход ; Юлин кошелек ;  ; 23100.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
24.05.2011 9:04:00 ; Расход ; Юлин кошелек ;  ; 3000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; яне в школу
24.05.2011 9:05:00 ; Расход ; Мой кошелек ;  ; 11900.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; 6 вешалок
24.05.2011 9:06:00 ; Расход ; Мой кошелек ;  ; 8000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; 15м 2,0мм леска трим
24.05.2011 9:07:00 ; Расход ; Мой кошелек ;  ; 35800.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; фрукты-овощи
25.05.2011 9:00:00 ; Доход ; Шкаф ;  ; 300.00 ; USD ; 0 ; USD ; Атлант-М | Моя з/пл конверт ; зпл2 1 часть
25.05.2011 9:01:00 ; Доход ; Мой кошелек ;  ; 350000.00 ; BYR ; 0 ; USD ; Атлант-М | Моя з/пл конверт ; зпл2 2 часть
25.05.2011 9:02:00 ; Перенос ; Шкаф ; Мой кошелек ; 1000000.00 ; BYR ; 0 ; USD ;   ; 
25.05.2011 9:03:00 ; Расход ; Мой кошелек ;  ; 5200.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; толст нить , гвоздь
25.05.2011 9:04:00 ; Расход ; Мой кошелек ;  ; 498300.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; постельное
25.05.2011 9:05:00 ; Расход ; Мой кошелек ;  ; 15700.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; кот туал
25.05.2011 9:06:00 ; Расход ; Мой кошелек ;  ; 5400.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; крем
25.05.2011 9:07:00 ; Расход ; Мой кошелек ;  ; 40100.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; д.р. газир и кумпяк
25.05.2011 9:08:00 ; Расход ; Мой кошелек ;  ; 2500.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; молоко для побелки
25.05.2011 9:09:00 ; Расход ; Мой кошелек ;  ; 36500.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; д.р. пиво-водка
25.05.2011 9:10:00 ; Расход ; Мой кошелек ;  ; 30800.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
25.05.2011 9:11:00 ; Расход ; Мой кошелек ;  ; 20100.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; картошка
25.05.2011 9:12:00 ; Перенос ; Мой кошелек ; Тумбочка ; 300000.00 ; BYR ; 0 ; USD ;   ; 
25.05.2011 9:13:00 ; Перенос ; Тумбочка ; Юлин кошелек ; 50000.00 ; BYR ; 0 ; USD ;   ; 
25.05.2011 9:14:00 ; Расход ; Юлин кошелек ;  ; 4700.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; нитки для штор
26.05.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 5600.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; д.р. краб , кукуруза
26.05.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 49000.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
26.05.2011 9:02:00 ; Расход ; Юлин кошелек ;  ; 6000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; янке в школу
26.05.2011 9:03:00 ; Расход ; Юлин кошелек ;  ; 12700.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; мороженные
27.05.2011 9:00:00 ; Перенос ; Мне должны ; Мой кошелек ; 800.00 ; BYR ; 0 ; USD ;   ; 
27.05.2011 9:01:00 ; Доход ; Мой кошелек ;  ; 264600.00 ; BYR ; 0 ; USD ; Атлант-М | Картриджи ; цветные ремзона
27.05.2011 9:02:00 ; Перенос ; Тумбочка ; Мой кошелек ; 100000.00 ; BYR ; 0 ; USD ;   ; 
27.05.2011 9:03:00 ; Расход ; Мой кошелек ;  ; 103700.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; д.р. шея 3,44 кг
27.05.2011 9:04:00 ; Расход ; Мой кошелек ;  ; 27500.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; д.р. помид, огур
27.05.2011 9:05:00 ; Расход ; Мой кошелек ;  ; 18700.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; яблоки
27.05.2011 9:06:00 ; Расход ; Мой кошелек ;  ; 5000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; пипетка коту от клещ
27.05.2011 9:07:00 ; Расход ; Мой кошелек ;  ; 6000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; 20 шурупов , коробка
27.05.2011 9:08:00 ; Расход ; Мой кошелек ;  ; 20500.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; д.р. лук , огурцы
27.05.2011 9:09:00 ; Доход ; Мой кошелек ;  ; 1050000.00 ; BYR ; 0 ; USD ; Атлант-М | Моя з/пл конверт ; зпл2 2 часть
27.05.2011 9:10:00 ; Доход ; Мой кошелек ;  ; 1400000.00 ; BYR ; 0 ; USD ; Квартиросъемщики | Сдача квартиры ; 
27.05.2011 9:11:00 ; Перенос ; Мой кошелек ; Шкаф ; 2600000.00 ; BYR ; 0 ; USD ;   ; 
27.05.2011 9:12:00 ; Перенос ; Мой кошелек ; Тумбочка ; 200000.00 ; BYR ; 0 ; USD ;   ; 
27.05.2011 9:13:00 ; Перенос ; Тумбочка ; Юлин кошелек ; 300000.00 ; BYR ; 0 ; USD ;   ; 
27.05.2011 9:14:00 ; Расход ; Юлин кошелек ;  ; 56700.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; букет
27.05.2011 9:15:00 ; Расход ; Юлин кошелек ;  ; 23500.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; сидушка, держ бум
27.05.2011 9:16:00 ; Расход ; Юлин кошелек ;  ; 3300.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; д.р. салфетки
27.05.2011 9:17:00 ; Расход ; Юлин кошелек ;  ; 90000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; д.р.торт,салат,конф
27.05.2011 9:18:00 ; Расход ; Юлин кошелек ;  ; 5600.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; шарики
27.05.2011 9:19:00 ; Расход ; Юлин кошелек ;  ; 2700.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
27.05.2011 9:20:00 ; Расход ; Юлин кошелек ;  ; 4700.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; мыльница
27.05.2011 9:21:00 ; Расход ; Юлин кошелек ;  ; 31000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; янке буслаев
27.05.2011 9:22:00 ; Расход ; Юлин кошелек ;  ; 15800.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; д.р. раубическая
27.05.2011 9:23:00 ; Расход ; Юлин кошелек ;  ; 58100.00 ; BYR ; 0 ; USD ; Прочие магазины | Одежда ; тениска
28.05.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 29100.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
28.05.2011 9:01:00 ; Перенос ; Шкаф ; Мой кошелек ; 2600000.00 ; BYR ; 0 ; USD ;   ; 
28.05.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 2440000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; холодильник с достав
28.05.2011 9:03:00 ; Доход ; Мой кошелек ;  ; 150000.00 ; BYR ; 0 ; USD ; Родственники | Подарки ; д.р. О.К.
28.05.2011 9:04:00 ; Доход ; Шкаф ;  ; 20.00 ; EUR ; 0 ; USD ; Родственники | Подарки ; д.р. Галя
29.05.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 124300.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; страховка
30.05.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 118800.00 ; BYR ; 0 ; USD ; АЗС | Авто топливо ; Дт 30,45 л
30.05.2011 9:01:00 ; Доход ; Мой кошелек ;  ; 761000.00 ; BYR ; 0 ; USD ; Атлант-М | Картриджи ; кар 2
30.05.2011 9:02:00 ; Доход ; Мой кошелек ;  ; 58000.00 ; BYR ; 0 ; USD ; Атлант-М | Картриджи ; цветн сто 2
30.05.2011 9:03:00 ; Доход ; Мой кошелек ;  ; 20000.00 ; BYR ; 0 ; USD ; Атлант-М | Компенсация сотовых ; 
30.05.2011 9:04:00 ; Расход ; Мой кошелек ;  ; 30000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; выкл+роз , короб*2
30.05.2011 9:05:00 ; Расход ; Мой кошелек ;  ; 6300.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; шурупы
30.05.2011 9:06:00 ; Расход ; Мой кошелек ;  ; 3100.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; салфетки влажные
30.05.2011 9:07:00 ; Расход ; Мой кошелек ;  ; 1800.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
30.05.2011 9:08:00 ; Перенос ; Тумбочка ; Юлин кошелек ; 100000.00 ; BYR ; 0 ; USD ;   ; 
30.05.2011 9:09:00 ; Расход ; Юлин кошелек ;  ; 44000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; дет лагерь
30.05.2011 9:10:00 ; Расход ; Юлин кошелек ;  ; 5400.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; янке
30.05.2011 9:11:00 ; Расход ; Юлин кошелек ;  ; 33400.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
30.05.2011 9:12:00 ; Перенос ; Мой кошелек ; Шкаф ; 700000.00 ; BYR ; 0 ; USD ;   ; 
31.05.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 44400.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
31.05.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 18000.00 ; BYR ; 0 ; USD ; Прочие магазины | Одежда ; шлепки
31.05.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 14400.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; яблоки
31.05.2011 9:03:00 ; Расход ; Юлин кошелек ;  ; 20500.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
01.06.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 19000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; моющие
01.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 19000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; моющие
01.06.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 8000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; 2 шампура
01.06.2011 9:03:00 ; Перенос ; Тумбочка ; Юлин кошелек ; 200000.00 ; BYR ; 0 ; USD ;   ; 
01.06.2011 9:04:00 ; Расход ; Юлин кошелек ;  ; 47100.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
01.06.2011 9:05:00 ; Расход ; Юлин кошелек ;  ; 28000.00 ; BYR ; 0 ; USD ; Прочие магазины | Одежда ; майка яне
01.06.2011 9:06:00 ; Расход ; Юлин кошелек ;  ; 12000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; юля стрижка
02.06.2011 9:00:00 ; Доход ; Мой кошелек ;  ; 271600.00 ; BYR ; 0 ; USD ; Атлант-М | Компенсация топлива ; за май
02.06.2011 9:01:00 ; Доход ; Шкаф ;  ; 103.00 ; USD ; 0 ; USD ; Атлант-М | АТС ; плата автоинформатор
02.06.2011 9:02:00 ; Доход ; Шкаф ;  ; 10.00 ; USD ; 0 ; USD ; Атлант-М | Прочие иррац ; кабель для zala
02.06.2011 9:03:00 ; Расход ; Юлин кошелек ;  ; 8000.00 ; BYR ; 0 ; USD ; Аптеки | Лекарства ; 
02.06.2011 9:04:00 ; Расход ; Юлин кошелек ;  ; 4300.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
02.06.2011 9:05:00 ; Расход ; Юлин кошелек ;  ; 19800.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
02.06.2011 9:06:00 ; Расход ; Юлин кошелек ;  ; 60000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; яна альбом
02.06.2011 9:07:00 ; Перенос ; Мой кошелек ; Тумбочка ; 200000.00 ; BYR ; 0 ; USD ;   ; 
03.06.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 19300.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; 
03.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 17200.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
03.06.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 36400.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; картофель , яблоки
03.06.2011 9:03:00 ; Перенос ; Шкаф ; Тумбочка ; 700000.00 ; BYR ; 0 ; USD ;   ; 
03.06.2011 9:04:00 ; Перенос ; Тумбочка ; Юлин кошелек ; 150000.00 ; BYR ; 0 ; USD ;   ; 
03.06.2011 9:05:00 ; Расход ; Юлин кошелек ;  ; 78200.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
03.06.2011 9:06:00 ; Расход ; Юлин кошелек ;  ; 2500.00 ; BYR ; 0 ; USD ; Минсктранс | Прочие расходы ; талоны
03.06.2011 9:07:00 ; Доход ; БИБ Зарплатная ;  ; 1355900.00 ; BYR ; 0 ; USD ; Атлант-М | Моя з/пл официальная ; зпл1
05.06.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 26800.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; конц кваса 5*0,5
05.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 39800.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
06.06.2011 9:00:00 ; Доход ; Мой кошелек ;  ; 180000.00 ; BYR ; 0 ; USD ; Атлант-М | Ремонт ; ремонт факса
06.06.2011 9:01:00 ; Доход ; Мой кошелек ;  ; 540000.00 ; BYR ; 0 ; USD ; Атлант-М | Ремонт ; ремонт by137a3
06.06.2011 9:02:00 ; Расход ; Юлин кошелек ;  ; 11400.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
06.06.2011 9:03:00 ; Расход ; Мой кошелек ;  ; 2500.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
06.06.2011 9:04:00 ; Расход ; Мой кошелек ;  ; 5100.00 ; BYR ; 0 ; USD ; Аптеки | Лекарства ; 
07.06.2011 9:00:00 ; Перенос ; БИБ Зарплатная ; Мой кошелек ; 1355900.00 ; BYR ; 0 ; USD ;   ; 
07.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 365000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; труба 20*2,0 100 м
07.06.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 80000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; фитинги водопров
07.06.2011 9:03:00 ; Расход ; Мой кошелек ;  ; 12000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; труба-чехол 1 м
07.06.2011 9:04:00 ; Расход ; Мой кошелек ;  ; 125000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; антенна "Дельта"
07.06.2011 9:05:00 ; Расход ; Мой кошелек ;  ; 60000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; каб телевиз 100 м
07.06.2011 9:06:00 ; Расход ; Мой кошелек ;  ; 40000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; пульт sony+батар
07.06.2011 9:07:00 ; Расход ; Мой кошелек ;  ; 13900.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; т бумага
07.06.2011 9:08:00 ; Расход ; Мой кошелек ;  ; 20200.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; яблоки
07.06.2011 9:09:00 ; Расход ; Юлин кошелек ;  ; 45000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; косметика
07.06.2011 9:10:00 ; Расход ; Юлин кошелек ;  ; 2700.00 ; BYR ; 0 ; USD ; Аптеки | Лекарства ; снимок янки
07.06.2011 9:11:00 ; Расход ; Юлин кошелек ;  ; 66400.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
07.06.2011 9:12:00 ; Расход ; Юлин кошелек ;  ; 1700.00 ; BYR ; 0 ; USD ; Минсктранс | Прочие расходы ; талоны
08.06.2011 9:00:00 ; Перенос ; Мой кошелек ; Шкаф ; 900000.00 ; BYR ; 0 ; USD ;   ; 
08.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 189600.00 ; BYR ; 0 ; USD ; АЗС | Авто топливо ; Дт 37,18 л
08.06.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 147000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; en.u
08.06.2011 9:03:00 ; Расход ; Мой кошелек ;  ; 14500.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; фитинг уголок
08.06.2011 9:04:00 ; Перенос ; Мой кошелек ; Мне должны ; 27200.00 ; BYR ; 0 ; USD ;   ; аккумуляторы
08.06.2011 9:05:00 ; Перенос ; Тумбочка ; Юлин кошелек ; 100000.00 ; BYR ; 0 ; USD ;   ; 
08.06.2011 9:06:00 ; Расход ; Юлин кошелек ;  ; 25800.00 ; BYR ; 0 ; USD ; Прочие магазины | Одежда ; 
08.06.2011 9:07:00 ; Расход ; Юлин кошелек ;  ; 26600.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
08.06.2011 9:08:00 ; Расход ; Юлин кошелек ;  ; 900.00 ; BYR ; 0 ; USD ; Минсктранс | Прочие расходы ; талон
09.06.2011 9:00:00 ; Доход ; Мой кошелек ;  ; 720000.00 ; BYR ; 0 ; USD ; Атлант-М | Картриджи ; m15i
09.06.2011 9:01:00 ; Перенос ; Мой кошелек ; Юлина карточка ; 500000.00 ; BYR ; 0 ; USD ;   ; 
09.06.2011 9:02:00 ; Перенос ; Тумбочка ; Юлина карточка ; 200000.00 ; BYR ; 0 ; USD ;   ; 
09.06.2011 9:03:00 ; Перенос ; Тумбочка ; Юлин кошелек ; 200000.00 ; BYR ; 0 ; USD ;   ; 
09.06.2011 9:04:00 ; Расход ; Юлин кошелек ;  ; 17400.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; 
09.06.2011 9:05:00 ; Расход ; Юлин кошелек ;  ; 24400.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
09.06.2011 9:06:00 ; Расход ; Юлин кошелек ;  ; 800.00 ; BYR ; 0 ; USD ; Минсктранс | Прочие расходы ; талон
10.06.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 9300.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; книжка янке
10.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 11400.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; миски пластм
10.06.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 88800.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
10.06.2011 9:03:00 ; Расход ; Мой кошелек ;  ; 47800.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; кот корм
10.06.2011 9:04:00 ; Расход ; Мой кошелек ;  ; 30000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; стир порошок
10.06.2011 9:05:00 ; Расход ; Мой кошелек ;  ; 18600.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; ?
10.06.2011 9:06:00 ; Доход ; Шкаф ;  ; 75.00 ; USD ; 0 ; USD ; Атлант-М | Ремонт ; принтер в шоу-руме
10.06.2011 9:07:00 ; Доход ; Шкаф ;  ; 65.00 ; USD ; 0 ; USD ; Атлант-М | Ремонт ; принтер озч 1320
10.06.2011 9:08:00 ; Расход ; Юлин кошелек ;  ; 40800.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; в гимназию
10.06.2011 9:09:00 ; Расход ; Юлин кошелек ;  ; 11600.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; мороженое
10.06.2011 9:10:00 ; Расход ; Юлин кошелек ;  ; 4600.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; бумага для акварели
10.06.2011 9:11:00 ; Расход ; Юлин кошелек ;  ; 500.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; ?
10.06.2011 9:12:00 ; Перенос ; Мне должны ; Мой кошелек ; 27200.00 ; BYR ; 0 ; USD ;   ; 
12.06.2011 9:00:00 ; Перенос ; Тумбочка ; Мой кошелек ; 350000.00 ; BYR ; 0 ; USD ;   ; 
12.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 33000.00 ; BYR ; 0 ; USD ; Прочие магазины | Одежда ; шлепки малым *2
12.06.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 57300.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
12.06.2011 9:03:00 ; Расход ; Мой кошелек ;  ; 95700.00 ; BYR ; 0 ; USD ; Рынки | Мясо ; мясо, фарш
12.06.2011 9:04:00 ; Расход ; Мой кошелек ;  ; 40300.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; примерно овощи
12.06.2011 9:05:00 ; Расход ; Мой кошелек ;  ; 13000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; ножик
13.06.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 72700.00 ; BYR ; 0 ; USD ; СТО | Ремонт авто ; шинмонтаж
13.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 69300.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
13.06.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 21400.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; 4*глуб и 3*мелк
13.06.2011 9:03:00 ; Расход ; Мой кошелек ;  ; 39300.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; хозтовары
14.06.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 14000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; бруски - ступеньки
14.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 2600.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; уголки
14.06.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 20000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; фитинг - тройник
14.06.2011 9:03:00 ; Расход ; Мой кошелек ;  ; 8400.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; з паста
14.06.2011 9:04:00 ; Расход ; Мой кошелек ;  ; 12200.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
14.06.2011 9:05:00 ; Расход ; Мой кошелек ;  ; 10500.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; веник
14.06.2011 9:06:00 ; Расход ; Мой кошелек ;  ; 45000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; прокладки
14.06.2011 9:07:00 ; Расход ; Мой кошелек ;  ; 32600.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; рис*2, гречка
14.06.2011 9:08:00 ; Расход ; Мой кошелек ;  ; 24600.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; яблоки
15.06.2011 9:00:00 ; Перенос ; Шкаф ; Мой кошелек ; 300000.00 ; BYR ; 0 ; USD ;   ; 
15.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 21200.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
16.06.2011 9:00:00 ; Расход ; Мой кошелек ;  ; 146000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; труба 40 м
16.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 60000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; кран , 2 переходника
16.06.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 7200.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; уголки
16.06.2011 9:03:00 ; Расход ; Мой кошелек ;  ; 7500.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; от тли , пшикалка
16.06.2011 9:04:00 ; Расход ; Мой кошелек ;  ; 7000.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; яйца 20
16.06.2011 9:05:00 ; Расход ; Мой кошелек ;  ; 42700.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; шея 1,37 кг
16.06.2011 9:06:00 ; Расход ; Мой кошелек ;  ; 15500.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
16.06.2011 9:07:00 ; Расход ; Мой кошелек ;  ; 20800.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
17.06.2011 9:00:00 ; Перенос ; Шкаф ; Мой кошелек ; 600000.00 ; BYR ; 0 ; USD ;   ; 
17.06.2011 9:01:00 ; Расход ; Мой кошелек ;  ; 128300.00 ; BYR ; 0 ; USD ; АЗС | Авто топливо ; Дт 28,83
17.06.2011 9:02:00 ; Расход ; Мой кошелек ;  ; 27000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочие расходы ; прокладки
17.06.2011 9:03:00 ; Расход ; Мой кошелек ;  ; 15000.00 ; BYR ; 0 ; USD ; Прочие магазины | Прочее на даче ; безмен
17.06.2011 9:04:00 ; Расход ; Мой кошелек ;  ; 56300.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; 
17.06.2011 9:05:00 ; Расход ; Мой кошелек ;  ; 30200.00 ; BYR ; 0 ; USD ; Прочие магазины | Продукты в целом ; яблоки
17.06.2011 9:06:00 ; Расход ; Юлина карточка ;  ; 90000.00 ; BYR ; 0 ; USD ; АСБ Кредит ЖСК | Погашение кредита ЖСК ; кредит жск
17.06.2011 9:07:00 ; Расход ; Юлина карточка ;  ; 89000.00 ; BYR ; 0 ; USD ; ЖЭС | По жировке ; кв
